user,room,weight,consumption
38819,143,1,0.1
38819,248,22,40.8
543,26,8,0.0
555,33,50,62.6
38820,33,18,0.0
564,31,17,58.5
38821,26,201,0.0
38821,35,45,0.0
577,29,23,99.8
38822,175,15,2.1
587,143,17,84.0
38823,222,46,0.0
38824,93,8,16.0
593,31,10,36.0
593,33,2,1.1
593,109,11,46.0
595,26,12,4.2
595,50,32,5.5
599,31,141,39.4
599,33,19,0.0
603,439,1,0.1
603,33,51,96.4
38825,33,24,0.0
615,84,36,3.1
38826,160,77,0.0
38827,346,9,0.0
38828,48,6,0.6
38828,135,6,0.6
38829,33,17,0.0
38830,31,33,28.2
637,33,136,10.4
637,346,91,9.1
38831,37,14,0.0
38832,38,13,0.0
38833,26,19,35.5
38834,26,8,7.4
658,26,9,7.2
658,33,8,80.0
38835,36,66,0.0
38835,7,5,0.0
663,48,3,0.3
663,547,2,0.2
663,573,3,0.3
663,405,3,0.3
663,45,3,46.2
663,720,3,0.3
663,1155,2,0.2
38836,877,15,17.4
665,86,9,13.5
38837,38,10,30.2
666,33,8,6.7
38838,160,28,1.7
669,590,251,64.9
669,68,1,6.0
670,26,52,85.9
38839,26,27,2.7
38839,33,19,2.0
38840,175,164,24.9
675,36,125,108.2
676,86,8,0.4
677,216,30,7.4
677,346,30,9.1
38841,33,2,0.0
38841,107,2,0.0
38841,109,21,0.0
680,231,9,0.0
682,53,44,22.2
38842,218,47,50.1
38843,346,32,12.5
684,26,16,45.0
38844,26,12,20.2
38844,4,2,1.1
38844,33,3,0.7
38845,33,12,0.0
38846,31,69,0.0
38847,33,12,31.7
695,35,27,52.0
695,74,5,0.0
38848,33,20,0.0
38848,210,240,12.0
38849,31,69,32.3
702,33,219,14.2
705,29,52,59.5
705,331,4,4.0
705,874,4,4.0
38850,33,21,0.0
716,50,70,7.0
38851,38,36,9.9
38852,40,9,13.4
719,84,222,17.1
38853,109,352,219.5
726,61,17,21.1
726,36,14,26.7
38854,29,12,2.6
730,109,19,3.5
38855,33,14,0.2
38856,33,10,0.0
38857,37,27,3.9
38857,38,19,10.7
739,114,7,0.7
739,160,3,5.1
38858,346,20,0.0
38859,109,106,0.0
745,160,28,45.8
38860,33,14,1.0
38861,33,120,0.0
748,33,136,93.2
748,109,72,1.0
756,33,48,31.0
756,109,1,10.0
757,26,13,0.0
757,57,126,0.3
757,116,3,0.3
757,33,6,0.3
757,35,27,0.3
757,7,15,0.0
757,58,11,0.0
757,74,28,0.3
757,40,21,0.0
757,109,27,0.0
757,204,7,0.0
38862,33,52,19.5
38863,33,82,29.7
38864,33,41,60.0
38865,33,21,0.0
764,26,1,10.0
764,36,4,10.3
764,7,2,20.0
764,141,2,0.1
38866,160,37,28.2
38866,33,1,0.2
38867,33,60,0.0
766,31,43,5.0
768,140,26,29.2
38868,33,23,2.3
38869,33,25,49.3
38870,7,269,7.1
38871,37,12,0.0
789,140,147,10.7
790,33,25,0.0
790,247,147,6.8
38872,33,35,0.0
797,29,43,18.3
797,31,1,0.1
798,247,14,10.3
800,166,8,25.0
801,368,379,267.4
801,33,4,0.2
801,35,5,0.0
801,36,4,0.3
801,204,32,7.1
802,490,24,9.9
804,140,55,17.3
804,368,2,12.0
38873,33,10,0.0
809,53,8,35.9
809,886,1,0.1
811,276,11,18.0
38874,40,12,0.0
819,140,16,1.6
820,229,12,0.5
38875,175,8,3.5
38876,36,10,0.0
830,141,28,30.9
831,30,19,27.82
831,438,101,477.21
831,224,4,113.6
38877,36,12,126.0
38878,33,48,16.2
840,140,9,122.5
840,53,1,6.0
841,140,10,33.6
841,247,9,0.9
841,141,10,9.4
38879,140,22,0.0
38879,222,6,0.0
846,140,371,24.0
846,365,1,0.0
846,248,49,2.8
38880,140,172,32.5
849,160,6,7.7
849,36,6,5.2
849,37,6,7.2
849,141,4,0.2
849,346,24,0.2
851,31,39,59.9
851,141,1,5.0
852,36,1,2.0
852,40,7,9.0
859,33,11,11.8
860,31,12,88.0
860,36,4,16.5
861,365,1,0.1
861,216,3,60.2
861,133,1,0.1
861,368,1,0.1
861,92,3,24.0
861,37,2,0.2
861,142,1,0.1
861,208,1,0.1
861,210,4,24.1
861,97,1,0.1
861,143,1,0.1
861,248,2,0.2
861,204,2,0.2
861,229,20,116.1
864,31,36,7.5
865,320,167,396.7
865,887,1,1.0
868,59,3,8.0
868,488,10,10.5
868,97,58,366.0
870,31,12,16.0
875,140,11,596.2
876,829,39,263.7
885,26,8,84.2
889,169,17,337.1
889,17,40,374.0
892,46,24,0.0
896,29,6,10.5
896,160,5,10.4
896,33,6,10.5
896,109,16,10.5
896,141,5,10.4
901,26,10,9.9
901,115,14,86.0
907,140,1,0.1
907,49,1,0.1
907,123,1,0.1
907,154,2,0.2
907,222,1,0.1
907,166,1,0.1
907,107,1,0.1
907,41,1,0.1
907,109,1,0.1
907,60,1,0.1
907,126,24,124.9
907,54,1,0.1
909,26,127,22.9
911,247,3,0.3
911,210,2,0.2
911,204,2,0.2
911,126,2,0.2
913,60,20,36.0
917,797,16,0.1
917,813,2,5.1
924,26,32,113.0
924,81,76,9.0
927,210,67,0.0
928,210,16,0.0
930,31,65,84.1
931,216,235,48.0
931,166,32,19.2
932,61,8,19.5
932,368,30,50.1
932,36,2,5.5
38881,365,27,9.5
38881,248,1,6.0
935,31,39,37.8
940,140,4,2.2
940,26,3,1.7
940,247,5,10.6
941,133,28,20.8
946,33,96,70.2
966,140,2,0.2
966,368,1,0.1
