user,room,weight
137,53,95
137,75,37
138,160,1
138,33,51
138,58,1
138,107,6
138,175,3
138,71,24
138,109,56
138,75,24
139,33,1
139,222,411
139,175,5
38743,33,11
38743,109,1
143,115,88
143,33,586
143,111,3
143,107,320
143,175,310
143,117,267
143,71,37
143,109,165
143,101,23
143,102,20
147,81,1
147,33,5
147,35,1
147,247,1
147,175,60
147,40,1
147,109,7
149,84,11
149,33,1
149,122,6
149,89,40
149,107,5
149,247,5
149,204,4
150,114,20
150,84,1
150,95,27
151,33,14
151,71,5
151,109,67
151,169,6
152,192,15
155,89,15
155,143,12
156,150,3
156,57,4
156,86,16
156,33,2
156,88,7
156,36,16
156,37,19
156,59,5
156,247,1
156,109,3
66506,160,4
66506,33,5
158,92,3
158,168,1
158,107,5
158,143,2
161,33,18
161,107,8
161,247,8
161,175,5
161,71,45
161,109,40
164,73,2
164,36,73
164,37,3
164,40,1
164,53,8
164,109,3
164,68,4
165,57,23
165,36,175
165,74,4
165,107,1
165,182,5
38744,33,9
38744,109,1
166,58,1
166,54,109
170,40,28
66507,29,9
66507,36,3
66507,7,2
66508,33,15
66509,26,4
66509,29,29
66509,31,273
66509,33,18
66509,35,11
66509,36,341
66509,222,3
66509,7,1
66509,71,1
66509,40,144
66509,53,58
66510,33,36
175,33,6
175,58,36
175,107,2
175,71,7
175,108,10
175,67,1
66511,61,9
66511,88,13
66511,107,46
66512,133,2
66512,160,1
66512,36,2
66512,167,1
66512,107,1
66512,247,2
66512,71,1
178,35,5
178,74,5
179,35,16
179,36,8
179,40,2
179,214,86
66513,160,6
66513,58,4
66513,109,4
66513,346,2
180,114,8
180,33,29
180,107,1
180,71,144
180,109,245
180,67,1
181,114,1
181,160,3
181,33,1
181,58,1
181,175,10
66514,36,2
66514,109,71
66515,107,3
66515,71,16
66515,109,5
38748,29,1
38748,33,47
38748,7,61
38748,58,12
38748,108,1
38748,53,1
38748,109,1
38748,143,1
184,29,71
184,31,119
184,33,2
38749,877,1
38749,373,2
38749,300,12
187,29,19
187,33,10
187,35,47
187,36,19
187,40,13
187,53,1
187,109,4
188,40,2
188,53,1
188,346,153
189,320,81
189,115,1
189,247,2
190,89,2
190,273,3
190,94,21
190,508,34
190,237,2
190,100,8
190,42,6
192,143,89
192,100,1
194,29,3
194,73,3
194,33,34
194,35,1
194,36,7
194,107,1
194,247,2
194,175,2
194,71,8
194,109,15
195,35,1
195,36,3
195,175,3
195,117,4
196,160,1
196,33,198
196,109,49
66516,33,16
198,33,1
198,37,8
198,40,1
199,216,4
199,90,1
199,222,2
199,346,1
199,69,1
200,172,2
200,61,1
200,31,55
200,35,2
200,247,4
200,40,15
200,141,101
200,173,2
204,89,8
207,33,10
207,122,3
207,64,1
207,175,4
207,71,3
207,53,1
207,109,3
66517,114,28
66517,160,1
66517,33,14
66517,40,4
208,33,152
208,175,4
208,71,6
208,109,2
210,29,22
210,31,27
210,368,2
210,36,4
210,7,7
210,107,4
210,141,1
210,67,2
211,33,7
211,175,1
66518,31,1
66518,33,6
66518,109,1
212,31,2
212,57,1
212,368,3
212,33,30
212,35,3
212,7,85
212,37,22
212,38,1
212,71,9
212,109,10
212,52,4
66519,33,5
66519,71,3
213,133,23
213,442,6
38751,29,5
38751,68,27
215,115,8
215,222,2
215,7,1
215,175,1
215,53,1
215,242,3
216,160,1
216,33,1
216,109,134
217,33,6
217,71,10
217,109,43
219,33,6
219,107,1
219,101,1
66520,33,85
66520,488,2
38753,33,67
38753,108,2
38753,109,14
223,160,1
223,33,4
223,175,4
223,109,7
225,160,1
225,33,25
225,107,6
225,71,6
225,109,3
66521,33,4
66521,175,6
66521,109,2
227,31,1
227,59,2
227,256,32
228,107,14
229,160,3
229,57,1
229,33,24
229,74,1
229,107,2
229,175,13
229,71,12
229,109,25
229,204,1
66522,222,4
66522,175,12
232,49,2
232,33,11
232,58,4
232,71,2
232,109,5
233,33,10
66523,33,1
66523,109,8
38755,7,32
66524,33,39
66524,36,2
66524,109,1
241,31,1
241,37,2
241,59,4
241,247,8
241,109,47
243,40,10
245,33,11
245,71,7
247,29,1
247,33,4
247,88,1
247,288,4
66525,33,36
248,31,17
248,35,3
248,74,1
248,40,10
249,33,4
249,35,1
249,58,14
249,71,1
38757,29,17
38757,133,1
38757,33,2
66526,31,47
66526,71,8
257,33,8
257,107,1
257,175,11
257,71,3
257,109,10
66527,33,9
66528,33,8
66528,58,1
66528,109,1
261,36,13
261,40,6
66529,33,116
66529,109,2
66530,29,54
66530,160,41
66530,57,2
66530,33,977
66530,35,63
66530,107,339
66530,71,22
66530,95,2
66530,40,12
66530,53,1
66530,109,35
38760,33,38
38760,35,2
38760,107,1
38760,109,2
66531,33,13
66531,175,1
66531,109,2
269,29,27
269,31,21
269,33,1
269,35,10
269,107,1
270,231,70
66532,33,35
66532,109,5
66533,36,20
38763,33,8
274,26,1
274,216,1
274,368,4
274,122,1
274,235,1
274,508,1
38764,35,2
38764,40,6
66534,33,71
66534,58,38
66534,68,2
66535,33,5
66535,71,1
66535,109,18
278,114,11
278,160,1
278,33,435
278,35,4
278,58,1
278,107,29
278,175,71
278,71,577
278,40,6
278,109,40
278,204,1
279,216,11
279,33,1
279,7,4
280,368,5
280,36,7
280,107,1
280,247,3
280,53,7
66536,33,2
66536,109,7
66537,33,23
66537,175,2
66537,109,5
66538,33,130
66538,222,1
66538,37,8
66538,175,1
66538,108,4
66538,109,10
66539,160,1
66539,33,13
66539,71,12
38765,31,4
38765,88,2
38765,107,1
38765,40,6
288,33,1
288,35,4
288,470,5
288,204,1
288,431,1
38766,133,8
38766,33,2
38766,122,1
38766,38,1
38766,175,8
66540,33,10
66540,71,4
289,88,11
289,141,1
66541,31,14
66542,7,27
66542,272,1
66542,53,1
293,71,69
293,109,2
294,88,205
296,33,100
296,175,1
296,71,129
296,109,24
296,67,2
297,33,14
297,107,5
297,71,15
297,109,34
66543,33,23
66543,71,4
66543,109,8
66544,33,8
298,146,1
298,272,2
298,141,4
298,204,1
299,33,26
299,36,1
299,107,1
299,109,1
66545,33,4
66545,107,2
66545,109,3
301,84,1
301,33,1
301,479,1
301,126,9
66546,33,107
66546,175,111
66547,33,22
66547,109,1
66548,33,19
66548,107,1
66549,31,1
66549,141,19
306,160,133
306,115,7
306,33,29
306,162,5
306,222,15
306,107,4
306,175,3
306,71,5
306,95,9
306,108,7
306,242,1
306,109,216
66550,160,2
66550,57,2
66550,33,10
66550,71,31
66550,109,20
308,33,36
38769,33,73
38769,108,4
38769,109,8
66551,33,23
66551,109,5
66552,33,3
66552,109,5
311,86,6
311,225,2
313,33,1
313,247,8
38770,29,9
38770,31,1
38770,33,2
38770,175,1
38771,35,2
38771,36,143
66553,107,1
66553,71,7
318,122,1
318,51,7
319,160,1
319,33,5
319,109,7
320,33,317
320,107,53
320,71,13
320,210,1
320,109,360
66554,26,7
66554,71,4
66555,33,448
66555,109,42
66556,175,1
66556,256,20
322,29,151
322,491,1
322,275,5
322,31,59
322,84,6
322,547,7
322,123,6
322,115,1
322,245,1
322,116,2
322,33,1
322,35,2
322,122,6
322,36,2
322,222,2
322,58,2
322,74,4
322,247,1
322,146,1
322,71,9
322,109,16
322,147,45
322,127,2
66557,33,1
66557,71,3
66557,109,8
323,79,95
323,33,13
323,107,1
323,247,7
323,470,3
323,272,30
323,498,116
66558,31,28
38773,114,6
38773,33,151
38773,58,3
38773,175,10
38773,71,34
38773,109,92
325,81,10
325,115,24
325,36,8
325,175,2
325,117,72
325,242,7
325,204,36
325,102,13
66559,160,16
66559,33,39
66559,35,11
66559,58,6
66559,74,2
66559,107,2
66559,108,1
66559,109,111
328,216,8
328,115,1
328,89,5
328,222,1
328,7,4
328,117,1
328,149,1
66560,33,2
66560,35,3
66560,36,5
66560,40,1
66561,143,8
334,28,1
334,230,13
334,89,2
334,7,1
334,59,2
334,210,1
334,508,6
334,204,1
334,169,1
335,114,32
335,33,7
335,59,11
335,71,1
335,95,2
335,60,3
66562,40,25
66563,33,43
337,31,7
337,33,1
337,143,8
339,33,28
339,35,1
339,36,11
339,222,4
339,58,1
339,107,21
339,175,2
339,71,53
339,109,39
38775,33,1
38775,175,1
38775,53,63
66564,33,4
66564,222,36
66564,7,18
66564,59,10
66564,107,35
66564,247,2
